,1021,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1022,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1023,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1024,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1025,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1026,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1027,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1028,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1029,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1030,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1031,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1032,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1033,DONE,2 cm x 2 cm,30k,125 GeV e-,41.25,41.25,,DSB1,Finish: May 25th 10PM,"Thomas, Ohannes, Carlos",,
,,,,,,,,,,,,,
,SPECIAL RUNS VOLTAGE SCAN,,,,,,,,,,,,
,43.25test,,,30k,,41.25,43.25,,,,,,
,42.75test,,,30k,,41.25,42.75,,,,,,
,42.25test,,,30k,,41.25,42.25,,,,,,
,,,,,,,,,,,,,
,1034,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1035,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1036,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1037,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1038,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1039,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1040,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1041,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1042,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1043,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1044,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1045,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Thomas, Ohannes, Carlos",,
,1049,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1050,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1051,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1052,Too noisy,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1053,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1054,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1055,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1056,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1057,No space left on device,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1058,No space left on device,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1059,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy",,
,1060,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1061,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1062,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1063,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1064,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1065,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1066,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1067,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1068,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1069,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1070,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1071,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1072,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1073,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1074,DONE,2 cm x 2 cm,30k,125 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2:15,NIM Crate alarm detected.   Onur cycle power.  Berkan setting up for 100 GeV beam,,,,,,,,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1075,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1076,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1077,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1078,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1079,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1080,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1081,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1082,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1083,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1084,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1085,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1086,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1087,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1088,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
,1089,DONE,2 cm x 2 cm,30k,100 GeV e-,42.25,42.25,,DSB1,,"Ohannes, Liyuan, Randy, Berkan, Onur, Selbi, Buse",,
